mean,std,max,min,rms,zcr,skew,kurt,label
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
0.00047207388,0.17283775,0.7440796,-1.0,0.17283837,0.011214885305851064,-0.261204,2.393152,open
0.0031220024,0.19465016,0.9999695,-1.0,0.1946752,0.010285073138297872,-0.059579607,5.435525,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
-0.0014715933,0.17741753,0.9999695,-1.0,0.17742364,0.010430518617021276,-0.114822805,4.0219154,open
0.00033127656,0.18848118,0.9999695,-1.0,0.18848148,0.008233252992021276,-0.18730636,6.3719764,open
0.00047291248,0.2059391,0.9992676,-1.0,0.20593964,0.009812375332446808,0.025103075,4.1884823,open
-0.00066213036,0.21234216,0.9999695,-1.0,0.21234317,0.009007230718085107,0.29548708,6.3583007,open
0.0045726816,0.18690695,0.9999695,-1.0,0.18696289,0.007417719414893617,-0.014672919,8.249499,open
0.00014303398,0.19428946,0.9999695,-1.0,0.19428952,0.010549991688829786,-0.22198923,5.6994915,open
-1.2823105e-05,0.07410763,0.13641357,-0.1300354,0.07410763,0.0027011303191489364,0.07354987,-1.2654006,open
-0.00010174306,0.16375425,0.9999695,-1.0,0.1637543,0.009983793218085107,0.12578867,4.683979,open
